,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,PREDDEG,HIGHDEG,latitude,longitude,HBCU,MENONLY,WOMENONLY,ADM_RATE,ACTCMMID,SAT_AVG,Agriculture,Natural Resources,Architecture,Ethnic and Gender Studies,Communication Journalism,Communication Technologies,Computer and Info Sciences,Personal and Culinary Services,Education,Engineering,Engineering Technologies and Related Fields,"Foreign Languages, Literatures, and Linguistics",Consumer Science/Human Sciences,Legal Proffessions and Studies,English Lang/Lit,"Liberal Arts Sciences, General Studies, Humanities",Library Science,Bio-Med/Biology,Math/Stats,Military Technologies and Applied Sciences,Multi-Interdisciplinary Studies,Fitness Studies,Philosophy and Religious Studies,Theology and Religious Vocations,Physical Sciences,Science Technology / Technicians,Psychology,"Homeland Security, Homeland Security, Protective Services",Public Administration and Social Service,Social Sciences,Construction Trades,Mechanic Repair Technology/Technicians,Precision Production,Transportation and Materials Moving,Visual and Performing Arts,Health Professions and Related Programs,Business Management Marketing,History,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,PCTFLOAN,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF
1246,Kentucky State University,Frankfort,KY,40601-2355,Southern Association of Colleges and Schools Commission on Colleges,www.kysu.edu/,3,4,38.201427,-84.855402,1,0,0,0.8065,20,1027,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,2,2,1,1,0,0,0,0,1,1,1,0,1419,0.148,0.7357,0.0296,0.0085,0.0035,0.0007,0.0388,0.0056,0.0296,0.1973,1,16750,8090,11940,6701,0.4958,1300,6690,998,6328,1937
1247,Kentucky Wesleyan College,Owensboro,KY,42301,Southern Association of Colleges and Schools Commission on Colleges,https://kwc.edu/,3,3,37.744489,-87.119658,0,0,0,0.6243,23,1141,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,1,1,0,0,1,2,0,1,0,2,2,0,1,0,0,0,0,2,1,2,1,835,0.6934,0.1234,0.0311,0.012,0.0036,0,0.012,0.0084,0.1162,0.0383,1,37751,27200,27200,12103,0.6265,1298,10217,3640,10217,3640
1248,University of Kentucky,Lexington,KY,40506-0032,Southern Association of Colleges and Schools Commission on Colleges,www.uky.edu/,3,4,38.038911,-84.504747,0,0,0,0.9585,26,1227,1,1,1,1,1,0,2,0,1,1,0,1,1,0,1,2,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,2,1,1,21864,0.7536,0.0719,0.052,0.0284,0.0019,0.0005,0.0402,0.0226,0.029,0.0607,1,29289,12360,30680,12963,0.4,1000,13210,4358,13210,4358
1249,Kentucky Christian University,Grayson,KY,41143-1199,Southern Association of Colleges and Schools Commission on Colleges,www.kcu.edu/,3,4,38.338805,-82.945561,0,0,0,0.4035,19,1004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,1,539,0.666,0.1763,0.0575,0.0019,0.0056,0,0.026,0.039,0.0278,0.0668,1,32896,20596,20596,9063,0.6066,1200,8480,4900,8480,11170
1252,University of Louisville,Louisville,KY,40292-0001,Southern Association of Colleges and Schools Commission on Colleges,www.louisville.edu/,3,4,38.216862,-85.760412,0,0,0,0.6928,26,1226,0,0,0,2,2,0,0,0,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,2,2,2,2,0,0,0,0,1,2,2,1,14303,0.7033,0.1207,0.0555,0.0424,0.0011,0.0004,0.0618,0.0142,0.0004,0.196,1,27604,11928,27954,12457,0.3812,1200,9452,6318,8530,7420
1256,Midway University,Midway,KY,40347-1120,Southern Association of Colleges and Schools Commission on Colleges,www.midway.edu/,3,4,38.146126,-84.678142,0,0,0,0.5964,21,1078,1,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,1117,0.7449,0.0842,0.0698,0.0063,0.0027,0.0009,0.0331,0.0018,0.0564,0.205,1,40606,24850,24850,13134,0.6972,1200,8600,7000,8600,7000
1257,Morehead State University,Morehead,KY,40351,Southern Association of Colleges and Schools Commission on Colleges,https://www.moreheadstate.edu/,3,4,38.186768,-83.434021,0,0,0,0.776,23,1147,1,0,0,0,1,0,1,0,1,1,2,1,0,1,2,2,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,2,1,1,5877,0.8903,0.0362,0.0189,0.0041,0.001,0.0005,0.0254,0.0163,0.0073,0.1123,1,21987,9290,13876,4390,0.4252,1440,9490,2612,9896,2914
1258,Murray State University,Murray,KY,42071-3318,Southern Association of Colleges and Schools Commission on Colleges,www.murraystate.edu/,3,4,36.612419,-88.323629,0,0,0,0.8239,25,1195,2,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,1,1,6796,0.8175,0.0625,0.0227,0.0069,0.0024,0.0007,0.0288,0.0288,0.0296,0.0984,1,20742,9168,24792,7911,0.4336,1260,9466,3800,10390,4570
1260,Northern Kentucky University,Highland Heights,KY,41099,Southern Association of Colleges and Schools Commission on Colleges,www.nku.edu/,3,4,39.029714,-84.463483,0,0,0,0.9018,23,1148,0,1,0,0,2,0,2,0,1,0,1,1,0,0,1,2,0,1,1,0,0,1,1,0,1,0,2,2,1,2,0,0,0,0,1,2,2,2,9882,0.8036,0.0736,0.037,0.0139,0.002,0.0007,0.0329,0.029,0.0073,0.1741,1,17888,10296,20256,9570,0.4414,800,10046,2500,10046,5364
1271,Spalding University,Louisville,KY,40203-2188,Southern Association of Colleges and Schools Commission on Colleges,https://www.spalding.edu/,3,4,38.242407,-85.757725,0,0,0,0.7932,20,1035,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,874,0.6659,0.1751,0.0606,0.016,0.0046,0.0011,0.0561,0.0011,0.0195,0.1487,1,37193,25200,25200,17286,0.6411,1650,7900,5437,10920,6540
1274,Transylvania University,Lexington,KY,40508-1797,Southern Association of Colleges and Schools Commission on Colleges,https://www.transy.edu/,3,3,38.052983,-84.493202,0,0,0,0.8967,27,1259,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,946,0.7907,0.055,0.0381,0.0233,0.0021,0,0.0465,0,0.0444,0.0032,1,52078,40210,40210,14697,0.5968,1000,10770,2100,10770,2100
1275,Union College,Barbourville,KY,40906-1499,Southern Association of Colleges and Schools Commission on Colleges,www.unionky.edu/,3,4,36.870875,-83.888477,0,0,0,0.5468,20,1035,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,2,2,0,1,0,0,0,0,0,2,2,1,930,0.6946,0.1387,0.0215,0.0022,0.0065,0.0022,0.0323,0.0957,0.0065,0.0785,1,38488,27950,27950,10667,0.565,1470,7500,4030,7500,4030
1276,Western Kentucky University,Bowling Green,KY,42101-1000,Southern Association of Colleges and Schools Commission on Colleges,www.wku.edu/,3,4,36.985035,-86.456828,0,0,0,0.9726,23,1150,1,0,1,1,1,0,2,0,2,1,2,1,1,1,1,2,0,1,1,0,1,1,1,0,1,0,1,0,1,2,0,0,0,0,1,2,2,1,13139,0.7854,0.0913,0.0388,0.0185,0.0024,0.0011,0.0341,0.0234,0.0049,0.1168,1,20497,10802,26496,8272,0.4115,1000,8432,2035,8432,4080
1282,Centenary College of Louisiana,Shreveport,LA,71104,Southern Association of Colleges and Schools Commission on Colleges,www.centenary.edu/,3,4,32.483335,-93.730834,0,0,0,0.5978,25,1207,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,543,0.6372,0.1694,0.1123,0.0258,0.0018,0,0.0405,0.0092,0.0037,0.0147,1,54202,37310,37310,11624,0.6377,1300,13670,3020,9450,3920
1289,Dillard University,New Orleans,LA,70122,Southern Association of Colleges and Schools Commission on Colleges,www.dillard.edu/,3,3,29.996587,-90.06464,1,0,0,0.3881,21,1075,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1215,0.0033,0.7095,0.0214,0,0.0016,0.0008,0.0181,0.0041,0.2412,0.0494,1,31625,19281,19281,8781,0.8786,1300,10218,4230,9656,5130
